account,avg_size,num_trades,trade_intensity,consistency,daily_pnl,win_rate,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,9.925502907106672,164.65217391304347,1567.5626060957334,0.6521739130434783,5.581491290949828,0.6521739130434783,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7.134606160897626,137.84313725490196,993.9118467752405,0.5490196078431373,2.7322413230808666,0.5490196078431373,1
0x271b280974205ca63b716753467d5a371de622ab,8.966155022861896,346.1818181818182,3049.857206675056,0.7272727272727273,4.035346448013588,0.7272727272727273,2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,5.8520446259637,82.66459627329192,485.094454902482,0.8881987577639752,4.469674082103798,0.8881987577639752,3
0x2c229d22b100a7beb69122eed721cee9b24011dd,7.4018181441023225,47.588235294117645,372.61721710212566,0.7794117647058824,4.119573247869318,0.7794117647058824,3
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,4.379449700850321,17.666666666666668,121.51727386694843,0.30952380952380953,0.4854579309269192,0.30952380952380953,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,8.38734615272774,79.73333333333333,652.4640451021429,0.5333333333333333,2.7984695319785384,0.5333333333333333,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,8.122614450815082,12.25925925925926,95.10712153932174,0.5555555555555556,3.783970728464899,0.5555555555555556,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,8.587026763415764,19.57894736842105,162.80455846672186,0.47368421052631576,4.127722829122505,0.47368421052631576,0
0x430f09841d65beb3f27765503d0f850b8bce7713,4.378171642703434,43.81481481481482,324.3304963548254,0.25925925925925924,2.7613020576488174,0.25925925925925924,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,6.199320970120664,59.52447552447553,369.5627819630991,0.8181818181818182,4.0260951909373945,0.8181818181818182,3
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,9.03670127309683,76.33333333333333,666.9987026838849,0.6666666666666666,5.127101744654786,0.6666666666666666,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,9.4680491485183,23.65625,227.0265830911594,0.603125,4.12777852538651,0.603125,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,9.583426011022294,313.3421052631579,3195.2977447907224,0.5526315789473685,4.90712168435741,0.5526315789473685,2
0x6d6a4b953f202f8df5bed40692e7fd865318264a,6.470163160303012,21.043478260869566,135.4304673625242,0.5652173913043478,3.3960632980361773,0.5652173913043478,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,8.424209406130934,87.11111111111111,730.6676512338822,0.2222222222222222,0.5282253870637418,0.2222222222222222,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,7.8122026339427535,21.984375,161.7836549042029,0.25,1.8803944391020735,0.25,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,7.5925875114420185,68.0,521.27376485768,0.9103448275862069,6.068853041307183,0.9103448275862069,3
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,8.331238425783448,62.16,506.53937915256984,0.6,3.409260046292039,0.6,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,7.49308250255231,50.42857142857143,376.76511335015084,0.42857142857142855,2.537981173207949,0.42857142857142855,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,7.5067764731263305,36.0377358490566,285.19569487686084,0.37735849056603776,2.108413083251556,0.37735849056603776,1
0x8477e447846c758f5a675856001ea72298fd9cb5,6.533983824578435,86.58381502890174,568.8278523575704,0.7630057803468208,3.7723195679731876,0.7630057803468208,3
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,8.018797784021634,164.94117647058823,1302.9157919512363,0.35294117647058826,2.663659403428845,0.35294117647058826,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,6.907828609657796,243.12698412698413,1709.9122117067952,0.7142857142857143,4.883646296238156,0.7142857142857143,3
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,6.105426764313914,11.527777777777779,76.4038163644994,0.4444444444444444,1.7649413523477768,0.4444444444444444,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,7.373882396835073,36.285714285714285,287.67263853500447,0.42857142857142855,3.6392652932514027,0.42857142857142855,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,8.950023757254419,27.36842105263158,240.18225631636926,0.5789473684210527,2.9664725942273513,0.5789473684210527,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7.615134487056131,57.490196078431374,446.1454971426881,0.4823529411764706,2.8988511705294946,0.4823529411764706,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,9.938523206488373,141.47058823529412,1406.1153102174842,0.7647058823529411,4.069334005585787,0.7647058823529411,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,7.946735910921628,784.8518518518518,6263.297301470023,0.7777777777777778,6.4181253870489785,0.7777777777777778,2
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,8.34758287853892,38.25757575757576,323.93856304872986,0.2727272727272727,0.6786174372690958,0.2727272727272727,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,7.329116789385855,308.1,2298.6185444327007,0.8,4.873752584041633,0.8,2
